minute,redeemedLUSD,borrowingRate
2021-12-10T19:57:00+00:00,,0.503668928682030600000000
2021-12-10T20:27:00+00:00,,0.503567914598711700000000
2021-12-10T21:45:00+00:00,,0.503309808505962800000000
2021-12-10T22:54:00+00:00,,0.503100075401146300000000
2021-12-10T23:07:00+00:00,,0.503064467998184200000000
2021-12-10T23:25:00+00:00,,0.503011822272198100000000
2021-12-11T00:08:00+00:00,,0.502889689369288600000000
2021-12-11T00:16:00+00:00,,0.502870281420105000000000
2021-12-11T00:29:00+00:00,,0.502834583246352100000000
2021-12-11T00:43:00+00:00,,0.502796635427146100000000
2021-12-11T01:06:00+00:00,,0.502738026935013000000000
2021-12-11T02:54:00+00:00,,0.502470024801366700000000
2021-12-11T06:45:00+00:00,,0.501977519875041100000000
2021-12-11T12:33:00+00:00,,0.501415927846831100000000
2021-12-11T13:17:00+00:00,,0.501358510322616500000000
2021-12-11T14:48:00+00:00,,0.501244560737540300000000
2021-12-11T15:09:00+00:00,,0.501220827073384600000000
2021-12-11T15:12:00+00:00,,0.501218478743624500000000
2021-12-11T15:18:00+00:00,,0.501211460822473800000000
2021-12-11T15:54:00+00:00,,0.501171321112890200000000
2021-12-11T17:46:00+00:00,,0.501052609245904900000000
2021-12-11T17:52:00+00:00,,0.501046546662762700000000
2021-12-11T17:55:00+00:00,,0.501043528478004400000000
2021-12-11T19:36:00+00:00,,0.500947751725718100000000
2021-12-11T20:10:00+00:00,,0.500917232170506500000000
2021-12-11T21:27:00+00:00,,0.500851698324511200000000
2021-12-11T21:38:00+00:00,,0.500843538328461300000000
2021-12-11T23:13:00+00:00,,0.500769813610365100000000
2021-12-12T03:56:00+00:00,,0.500586224645931700000000
2021-12-12T04:03:00+00:00,,0.500582848240423400000000
2021-12-12T04:29:00+00:00,,0.500568440433643500000000
2021-12-12T06:12:00+00:00,,0.500514779150440700000000
2021-12-12T07:23:00+00:00,,0.500481231606865400000000
2021-12-12T09:07:00+00:00,,0.500435383567076000000000
2021-12-12T13:33:00+00:00,,0.500337021939604200000000
2021-12-12T14:15:00+00:00,,0.500323978498132300000000
2021-12-12T14:32:00+00:00,,0.500319026406744400000000
2021-12-12T15:01:00+00:00,,0.500310242872687200000000
2021-12-12T15:40:00+00:00,,0.500298810615200900000000
2021-12-12T18:05:00+00:00,,0.500259879441828500000000
2021-12-12T19:06:00+00:00,,0.500245057498004000000000
2021-12-12T19:59:00+00:00,,0.500232867479585000000000
2021-12-12T21:28:00+00:00,,0.500213951968994700000000
2021-12-12T22:57:00+00:00,,0.500196572939760800000000
2021-12-13T03:02:00+00:00,,0.500155420396244900000000
2021-12-13T03:23:00+00:00,,0.500152456542914000000000
2021-12-13T03:59:00+00:00,,0.500147263313382900000000
2021-12-13T05:00:00+00:00,,0.500138998058702500000000
2021-12-13T05:15:00+00:00,,0.500137137230233800000000
2021-12-13T06:03:00+00:00,,0.500130944332872200000000
2021-12-13T06:58:00+00:00,,0.500124191353561900000000
2021-12-13T08:56:00+00:00,,0.500110855153835700000000
2021-12-13T11:07:00+00:00,,0.500097814502610200000000
2021-12-13T12:13:00+00:00,,0.500091881257803500000000
2021-12-13T12:31:00+00:00,,0.500090389769546700000000
2021-12-13T15:38:00+00:00,,0.500075497939629000000000
2021-12-13T15:42:00+00:00,,0.500075280207597700000000
2021-12-13T16:16:00+00:00,,0.500072856030052200000000
2021-12-13T16:29:00+00:00,,0.500071949907327900000000
2021-12-13T16:37:00+00:00,,0.500071466671946200000000
2021-12-13T17:12:00+00:00,,0.500069165298093600000000
2021-12-13T17:22:00+00:00,,0.500068502635572100000000
2021-12-13T19:01:00+00:00,,0.500062335256903400000000
2021-12-13T20:01:00+00:00,,0.500058836647765500000000
2021-12-13T21:05:00+00:00,,0.500055374242221100000000
2021-12-13T21:15:00+00:00,,0.500054896533476600000000
2021-12-13T21:17:00+00:00,,0.500054843709772200000000
2021-12-13T21:34:00+00:00,,0.500053953443889500000000
2021-12-13T21:38:00+00:00,,0.500053797845034900000000
2021-12-13T21:39:00+00:00,,0.500053746078533700000000
2021-12-13T21:40:00+00:00,17999.560000000000,0.501118024509492000000000
2021-12-13T22:08:00+00:00,,0.501088289909010100000000
2021-12-13T22:18:00+00:00,,0.501078901327149700000000
2021-12-14T00:30:00+00:00,,0.500950151579798200000000
2021-12-14T00:42:00+00:00,,0.500940142802197300000000
2021-12-14T04:16:00+00:00,,0.500765104966575500000000
2021-12-14T05:39:00+00:00,,0.500707028710083000000000
2021-12-14T07:27:00+00:00,26138.800000000000,0.502170664033533300000000
2021-12-14T07:36:00+00:00,,0.502151937904768000000000
2021-12-14T07:47:00+00:00,,0.502129269660713500000000
2021-12-14T08:45:00+00:00,,0.502015575750484300000000
2021-12-14T10:24:00+00:00,,0.501834110923841800000000
2021-12-14T11:46:00+00:00,,0.501694890423254300000000
2021-12-14T12:36:00+00:00,,0.501616794645382300000000
2021-12-14T15:17:00+00:00,,0.501384653827052600000000
2021-12-14T16:24:00+00:00,,0.501299411763542200000000
2021-12-14T18:25:00+00:00,,0.501157644274476100000000
2021-12-14T18:44:00+00:00,,0.501137756638743000000000
2021-12-14T20:51:00+00:00,,0.501006818140261200000000
2021-12-15T00:15:00+00:00,,0.500828089536242900000000
2021-12-15T00:23:00+00:00,,0.500821736388821700000000
2021-12-15T01:37:00+00:00,,0.500765232356631500000000
2021-12-15T05:06:00+00:00,,0.500625764622890600000000
2021-12-15T07:32:00+00:00,,0.500544235554695800000000
2021-12-15T09:30:00+00:00,,0.500485793208692300000000
2021-12-15T09:36:00+00:00,,0.500483460451246300000000
2021-12-15T10:01:00+00:00,,0.500472418199279000000000
2021-12-15T12:02:00+00:00,,0.500420876768163800000000
2021-12-15T18:57:00+00:00,,0.500282528787997800000000
2021-12-15T19:05:00+00:00,,0.500280361211954000000000
2021-12-15T19:06:00+00:00,3760671.511476433023,0.71874455636439280000
2021-12-15T19:21:00+00:00,,0.71560845911125490000
2021-12-15T19:22:00+00:00,,0.71540099177611340000
2021-12-15T19:24:00+00:00,,0.71519372407458240000
2021-12-15T19:50:00+00:00,,0.71007635380954370000
2021-12-15T20:17:00+00:00,,0.70488333905065410000
2021-12-15T23:34:00+00:00,,0.66948899002632110000
2021-12-16T00:45:00+00:00,,0.65844359459108230000
2021-12-16T06:04:00+00:00,,0.61654715449516880000
2021-12-16T06:20:00+00:00,,0.61487624109211950000
2021-12-16T09:30:00+00:00,,0.59567351837310680000
2021-12-16T09:48:00+00:00,,0.59412047118434350000
2021-12-16T10:38:00+00:00,,0.58978366491653570000
2021-12-16T11:45:00+00:00,,0.58417532765892900000
2021-12-16T12:58:00+00:00,,0.57853835777919920000
2021-12-16T13:28:00+00:00,,0.57630252318824090000
2021-12-16T13:52:00+00:00,,0.57463158473320440000
2021-12-16T14:02:00+00:00,,0.57398774457918780000
2021-12-16T14:29:00+00:00,,0.57215879314029800000
2021-12-16T16:23:00+00:00,,0.56465858234209120000
2021-12-16T18:48:00+00:00,,0.55628856527983310000
2021-12-16T20:36:00+00:00,,0.55073009549814730000
2021-12-16T22:22:00+00:00,,0.54580863753501710000
2021-12-17T03:39:00+00:00,,0.53379314833283790000
2021-12-17T06:33:00+00:00,,0.52858115261911050000
2021-12-17T07:32:00+00:00,,0.52702900760523630000
2021-12-17T07:40:00+00:00,,0.52682163960642950000
2021-12-17T09:06:00+00:00,,0.52471422859424660000
2021-12-17T09:42:00+00:00,,0.52387237124053560000
