snapped_at,price,market_cap,total_volume
2021-04-05 00:00:00 UTC,73.17543979460856,2633544.735715329,789095.4185228305
2021-04-06 00:00:00 UTC,73.17543979460856,2633544.735715329,789095.4185228305
2021-04-07 00:00:00 UTC,29.76237305763728,3066203.864675016,1541955.4565571605
2021-04-08 00:00:00 UTC,23.85151138791943,4254876.536453932,1450588.3060428163
2021-04-09 00:00:00 UTC,20.4227362880455,5005803.269505485,930273.4968412452
2021-04-10 00:00:00 UTC,17.46007156306095,7009245.965024841,1264449.3016707257
2021-04-11 00:00:00 UTC,18.212843656467307,7841629.085449513,1589702.339813049
2021-04-12 00:00:00 UTC,18.08688420156532,9433062.522726864,1731870.7591199952
2021-04-13 00:00:00 UTC,24.090086140797933,14798596.600158006,2311763.6990385633
2021-04-14 00:00:00 UTC,28.71425418178651,18339498.892641757,4201878.864269866
2021-04-15 00:00:00 UTC,37.80660999205829,28869304.126778103,8712758.530086622
2021-04-16 00:00:00 UTC,35.44685086380461,38189748.3489253,5983992.753886174
2021-04-17 00:00:00 UTC,31.831062598723427,149540052.56557712,5392184.657209646
2021-04-18 00:00:00 UTC,22.7428204072472,96231852.53307746,3396380.7833546004
2021-04-19 00:00:00 UTC,36.11800313115519,40992629.83879388,10336992.569686182
2021-04-20 00:00:00 UTC,30.34886092947326,36238885.06365923,4435663.845001375
2021-04-21 00:00:00 UTC,29.196243197675074,36268890.50133542,3798829.155065127
2021-04-22 00:00:00 UTC,30.68264460766119,51277606.74392419,3949500.545911765
2021-04-23 00:00:00 UTC,38.18724750374362,70009190.9439768,8076103.044531311
2021-04-24 00:00:00 UTC,42.5642490446847,78789037.14506936,10177013.23324466
2021-04-25 00:00:00 UTC,47.845476457474476,94490137.22504598,10795988.032324746
2021-04-26 00:00:00 UTC,38.85254641914923,76396203.44599292,7540755.747595044
2021-04-27 00:00:00 UTC,35.49253238295766,72905041.12277642,10309164.425690675
2021-04-28 00:00:00 UTC,33.030826423147786,69756787.74672978,7053931.823355629
2021-04-29 00:00:00 UTC,28.533669305472625,57495147.98321124,6080775.181252547
2021-04-30 00:00:00 UTC,32.69140907768225,69509533.85479324,7848636.828132597
2021-05-01 00:00:00 UTC,26.001132993723118,316423550.96880347,5266993.055833584
2021-05-02 00:00:00 UTC,29.184707245158766,65748208.26621468,6615027.369815671
2021-05-03 00:00:00 UTC,20.79203644498529,50164025.79554394,6782568.189868151
2021-05-04 00:00:00 UTC,22.72136799954508,56341738.016348675,7047109.155350402
2021-05-05 00:00:00 UTC,20.35261468967327,53318870.89158189,3250852.9410127364
2021-05-06 00:00:00 UTC,24.202737946344808,65322329.10173523,6574127.2703370005
2021-05-07 00:00:00 UTC,21.570050589222333,59396017.76216072,3912265.6281711375
2021-05-08 00:00:00 UTC,21.695416173350296,62380479.44389663,2524616.331551409
2021-05-09 00:00:00 UTC,25.570289116069855,75046080.63969362,5700679.144742434
2021-05-10 00:00:00 UTC,26.91566481411749,79887605.31944093,5273677.175667859
2021-05-11 00:00:00 UTC,27.65708621701012,82517210.7298611,2987300.967943895
2021-05-12 00:00:00 UTC,24.661247538132617,74623768.42515568,3243361.6393232024
2021-05-13 00:00:00 UTC,21.545902880316017,72790528.74528493,4172014.9586067433
2021-05-14 00:00:00 UTC,20.75663564322376,67319482.92925943,5508565.081007582
2021-05-15 00:00:00 UTC,19.758376541452535,69102987.73514521,4109430.9496993157
2021-05-16 00:00:00 UTC,16.500352830234807,58637683.74305529,1471689.7710998706
2021-05-17 00:00:00 UTC,17.398332703993884,63078087.27040672,3952130.266595363
2021-05-18 00:00:00 UTC,15.13327656294443,56441602.05271236,1061437.657324595
2021-05-19 00:00:00 UTC,14.3397624862304,53614606.01808736,996894.8740965463
2021-05-20 00:00:00 UTC,13.717177142757093,55453982.142381296,1137586.182153043
2021-05-21 00:00:00 UTC,11.519580832085559,46544632.594566025,2145005.746915627
2021-05-22 00:00:00 UTC,10.444372583555275,41746710.423204795,2023104.8367149546
2021-05-23 00:00:00 UTC,9.366510094540274,38402966.14107683,1218346.388256254
2021-05-24 00:00:00 UTC,9.192579326796018,40425107.73756498,1646879.7482526416
2021-05-25 00:00:00 UTC,10.33073823518108,47080754.30226769,2313158.278814895
2021-05-26 00:00:00 UTC,12.112383626627569,53933525.52360212,1359916.0675889044
2021-05-27 00:00:00 UTC,21.493625675300233,96916019.54353526,5144972.0117237335
2021-05-28 00:00:00 UTC,17.26178037268764,83400280.35882081,3858272.809602447
2021-05-29 00:00:00 UTC,18.91577413017713,84582377.9137009,3863957.6213897113
2021-05-30 00:00:00 UTC,16.0998640082801,77195605.01518771,2020424.2844018575
2021-05-31 00:00:00 UTC,18.97568052124283,91039995.4316576,2779424.5736203995
2021-06-01 00:00:00 UTC,17.9622523504846,86568855.75234215,3298740.1155800046
2021-06-02 00:00:00 UTC,16.872779359271988,83791735.67665477,872491.1921621037
2021-06-03 00:00:00 UTC,16.327076255276378,79602227.0542582,755395.0366871097
2021-06-04 00:00:00 UTC,15.850376505452342,75970895.78298704,1207893.0282730649
2021-06-05 00:00:00 UTC,13.956287846969476,68136573.59630771,855483.4212748976
2021-06-06 00:00:00 UTC,12.945822916127081,62854341.77482345,553708.4539845363
2021-06-07 00:00:00 UTC,12.74921005306071,62213477.11886518,723097.4277491848
2021-06-08 00:00:00 UTC,10.395566566527656,51949641.544604786,985698.7660823955
2021-06-09 00:00:00 UTC,10.827726211118664,53048031.0299679,975069.9298713283
2021-06-10 00:00:00 UTC,11.54488274296207,56080941.54048146,554496.810185616
2021-06-11 00:00:00 UTC,10.821335403823369,53186905.13091277,585033.4357979356
2021-06-12 00:00:00 UTC,9.06587407627963,43640444.64650267,778600.9846596235
2021-06-13 00:00:00 UTC,9.251251782919939,45364007.17849943,527638.3557412943
2021-06-14 00:00:00 UTC,9.189745086493977,44107171.176301114,435607.04882362555
2021-06-15 00:00:00 UTC,8.322030037479127,40607089.09725958,528747.9977041509
2021-06-16 00:00:00 UTC,8.23737539452387,40127688.16407963,935538.3629901482
2021-06-17 00:00:00 UTC,6.667856796102968,32529537.026774753,1066778.7324036495
2021-06-18 00:00:00 UTC,7.448305639648852,36162111.5948795,624158.8470626757
2021-06-19 00:00:00 UTC,6.896166405510492,33714147.06672057,550319.5497376112
2021-06-20 00:00:00 UTC,6.792615855028284,33204420.834766466,382045.47553923685
2021-06-21 00:00:00 UTC,9.110971949251617,44385870.85134697,596573.0270199822
2021-06-22 00:00:00 UTC,5.8048254935080505,29433367.475575864,499249.0229521969
2021-06-23 00:00:00 UTC,6.556878519405486,31958251.14905323,884054.436356306
2021-06-24 00:00:00 UTC,7.569733406757525,36859304.28607795,317474.7953093179
2021-06-25 00:00:00 UTC,6.176996595150287,30106028.87580078,439414.9024724027
2021-06-26 00:00:00 UTC,6.210226382181256,30374470.057515476,353207.09538971755
2021-06-27 00:00:00 UTC,6.467817431239109,31553577.183176205,543413.3436801322
2021-06-28 00:00:00 UTC,6.090027057387994,29630476.068835862,500918.913096769
2021-06-29 00:00:00 UTC,6.141921179082586,31026683.730815567,474794.9493690622
2021-06-30 00:00:00 UTC,5.3261959732329105,25994975.256588053,1181719.0455100308
2021-07-01 00:00:00 UTC,6.058333598276302,29557738.584661104,1641819.109706021
2021-07-02 00:00:00 UTC,5.387974718010613,26242852.58238252,1551595.2786777096
2021-07-03 00:00:00 UTC,6.0904325825226495,29711387.373901017,337464.67625979194
2021-07-04 00:00:00 UTC,6.850427833843222,33357659.64456264,851208.3248444387
2021-07-05 00:00:00 UTC,6.020428863245067,29467535.93398804,1539665.12864734
2021-07-06 00:00:00 UTC,5.891755329412101,28751816.8000492,474493.5056829457
2021-07-07 00:00:00 UTC,5.696953012087729,27778771.115477063,1224691.6115984658
2021-07-08 00:00:00 UTC,5.570703547100675,27302299.427786488,546171.497339687
2021-07-09 00:00:00 UTC,5.265594782803569,25688142.070244182,336624.90022647305
2021-07-10 00:00:00 UTC,5.001728283344193,24396576.188999478,394597.6743936993
2021-07-11 00:00:00 UTC,5.00536281294428,24451525.684304416,329279.1138155044
2021-07-12 00:00:00 UTC,5.170292805637174,25225115.23608705,252965.431460045
2021-07-13 00:00:00 UTC,5.018783505823538,24415321.51396301,520273.04373547627
2021-07-14 00:00:00 UTC,4.911036370412396,24001096.098309558,208368.6748286052
2021-07-15 00:00:00 UTC,4.864302656426614,23723012.52469611,262697.5789786498
2021-07-16 00:00:00 UTC,4.4255284899070295,21609433.038136456,406231.2316880287
2021-07-17 00:00:00 UTC,4.3733703676465225,21337045.239235055,147580.8418853296
2021-07-18 00:00:00 UTC,4.425820256594251,21592940.70639001,222793.2963891624
2021-07-19 00:00:00 UTC,4.332278776491726,21122469.212149587,245259.3630866827
2021-07-20 00:00:00 UTC,3.6144381112385506,17678242.020813342,338503.2038515054
2021-07-21 00:00:00 UTC,3.434457045116315,16789433.211571656,325669.5563773254
2021-07-22 00:00:00 UTC,3.536385238766474,17240421.27540618,279202.684703881
2021-07-23 00:00:00 UTC,3.7909288275704673,18256360.26880786,193912.8998113016
2021-07-24 00:00:00 UTC,3.935916086867892,19038012.302421104,333588.64295263006
2021-07-25 00:00:00 UTC,4.096575287039596,19965480.438013144,249043.7409342811
2021-07-26 00:00:00 UTC,3.9531866825366833,19287029.451799743,199565.0243386389
2021-07-27 00:00:00 UTC,3.8730336329153383,18566130.768809143,242136.28205152406
2021-07-28 00:00:00 UTC,4.091127063543038,19886898.895012826,215775.27440009025
2021-07-29 00:00:00 UTC,3.9989063182891553,19462614.578025635,129451.66207405872
2021-07-30 00:00:00 UTC,4.410880172593744,21529486.578894984,472653.16650682763
2021-07-31 00:00:00 UTC,4.745451710828031,23170865.50812481,352515.1011855279
2021-08-01 00:00:00 UTC,6.046020583794407,29609775.790266383,1329567.0725603348
2021-08-02 00:00:00 UTC,7.597901319885785,36915829.28075317,2981026.3270503785
2021-08-03 00:00:00 UTC,6.942958032941254,33908796.8696472,1174651.4285339767
2021-08-04 00:00:00 UTC,6.377433604476651,31030245.65811915,849178.6304939828
2021-08-05 00:00:00 UTC,6.2159697576853725,30353278.080344215,727464.8335734763
2021-08-06 00:00:00 UTC,5.906683203523938,28829070.73066673,534193.5299242202
2021-08-07 00:00:00 UTC,6.260233953365316,30542781.38876969,527771.6720046058
2021-08-08 00:00:00 UTC,7.017869858696758,34085552.586821444,795624.8800455591
2021-08-09 00:00:00 UTC,7.61026707635157,36082578.58037169,684239.5332112157
2021-08-10 00:00:00 UTC,8.343788438729904,36774153.146118306,1344408.0782681326
2021-08-11 00:00:00 UTC,7.51926098732202,36606716.85126083,1036410.4840274097
2021-08-12 00:00:00 UTC,7.179882276069379,35025430.139438346,983523.9496526236
2021-08-13 00:00:00 UTC,6.339351512842305,30928903.614416026,755369.6415756685
2021-08-14 00:00:00 UTC,7.61459148956072,37102876.57404135,576265.7900372748
2021-08-15 00:00:00 UTC,6.974561951988417,34023428.664493494,673112.9150914511
2021-08-16 00:00:00 UTC,6.991465031667901,34112431.98818761,423655.6190536316
2021-08-17 00:00:00 UTC,6.907162954190224,34051178.70601335,898854.1821586837
2021-08-18 00:00:00 UTC,6.136107677910873,29993046.111549463,1203106.8999685175
2021-08-19 00:00:00 UTC,5.988674692924277,29282055.18629642,473316.5886320674
2021-08-20 00:00:00 UTC,6.9089045380237195,33409301.49264737,1324232.510691302
2021-08-21 00:00:00 UTC,6.666203576653513,59113824.33114175,1095285.160996507
2021-08-22 00:00:00 UTC,6.002360926224662,54506409.68462231,1035326.7792708995
2021-08-23 00:00:00 UTC,6.11901221549607,55068409.76147045,1093031.8567381569
2021-08-24 00:00:00 UTC,5.30953342522863,47897180.92270831,1252151.2935741055
2021-08-25 00:00:00 UTC,5.1672976168007,46746971.012999356,473964.1880690247
2021-08-26 00:00:00 UTC,5.336853851665219,48330323.51581284,682502.8161997332
2021-08-27 00:00:00 UTC,5.619226207510712,50915659.558170825,793321.6112143637
2021-08-28 00:00:00 UTC,5.312132896939142,48358903.23449131,829511.2820552315
2021-08-29 00:00:00 UTC,5.354801615342629,49065673.06667879,737519.1694745175
2021-08-30 00:00:00 UTC,5.337603743152745,48965212.66047826,606415.7414121028
2021-08-31 00:00:00 UTC,5.282411353238393,48653692.93105505,490046.6772496855
2021-09-01 00:00:00 UTC,5.455384481886006,50656911.420636415,821733.3316626978
2021-09-02 00:00:00 UTC,5.915347183850951,54906345.326841965,369317.4259741227
2021-09-03 00:00:00 UTC,6.3031652914079475,59668589.80578024,913918.3297257307
2021-09-04 00:00:00 UTC,6.149782038439037,58107882.87763892,837089.8690785636
2021-09-05 00:00:00 UTC,5.8450883563840135,55520803.10017065,545859.4664386935
2021-09-06 00:00:00 UTC,5.8237933909022965,55518234.79074019,714085.0321076335
2021-09-07 00:00:00 UTC,6.562156303075204,62603856.28147616,974648.4626100764
2021-09-08 00:00:00 UTC,5.416816562246158,52363634.233591735,1211823.3518918636
2021-09-09 00:00:00 UTC,5.436382893647128,52928490.937316455,663039.3716917344
2021-09-10 00:00:00 UTC,5.41298349835375,52731443.66034037,789744.177911587
2021-09-11 00:00:00 UTC,5.437622011012086,53035300.21047701,374192.6904838896
2021-09-12 00:00:00 UTC,5.081439012563803,49490444.059638225,763702.4607002551
2021-09-13 00:00:00 UTC,5.201160792292608,51826787.857655495,858668.430292843
2021-09-14 00:00:00 UTC,5.214333522346896,51581676.77873287,540882.2328636626
2021-09-15 00:00:00 UTC,5.067780543882327,50848901.74966281,808942.9444048085
2021-09-16 00:00:00 UTC,5.305196026159789,53344648.45588397,734664.7615106929
2021-09-17 00:00:00 UTC,4.294662569275464,43320913.60104893,1143248.5358438692
2021-09-18 00:00:00 UTC,4.369943862474182,44070933.40708296,684358.4519019106
2021-09-19 00:00:00 UTC,4.2270945157202116,43112987.71522075,1381203.0024904707
2021-09-20 00:00:00 UTC,4.5871154294671594,46924674.58911282,475507.2726662029
2021-09-21 00:00:00 UTC,4.518578523446216,46262383.21630501,1416541.5304234473
2021-09-22 00:00:00 UTC,4.052918780941388,41641307.253506936,904866.7775117044
2021-09-23 00:00:00 UTC,4.359798494862729,44868938.34801414,391503.9179679705
2021-09-24 00:00:00 UTC,4.97733640289429,51821451.307632044,627327.4812707508
2021-09-25 00:00:00 UTC,4.837109193701287,50612852.00448751,636987.4179075548
2021-09-26 00:00:00 UTC,4.55987084522122,47870447.27529969,277351.4921337882
2021-09-27 00:00:00 UTC,4.713039162541772,49512821.64066895,642590.7869429024
2021-09-28 00:00:00 UTC,4.66191036591429,48980084.4813674,327788.539422727
2021-09-29 00:00:00 UTC,4.002619657099839,42220384.01756942,201852.522155523
2021-09-30 00:00:00 UTC,4.293215817527573,45314857.91703923,269528.373191825
2021-10-01 00:00:00 UTC,4.713072700995547,50274134.51174873,856764.3201794926
2021-10-02 00:00:00 UTC,5.1417850390356685,55112660.05143894,441747.7994342915
2021-10-03 00:00:00 UTC,5.2174972916244124,56426939.54259874,451821.82917844923
2021-10-04 00:00:00 UTC,5.058742976142323,54892173.84700057,540602.1493105671
2021-10-05 00:00:00 UTC,5.043596234237139,55021642.49749426,449666.45536287833
2021-10-06 00:00:00 UTC,5.045061303713758,55178799.57950457,598683.8241525791
2021-10-07 00:00:00 UTC,6.091871594730948,66658848.57738936,1047751.0072892377
2021-10-08 00:00:00 UTC,5.760803685941989,63329302.78654337,558481.0538903038
2021-10-09 00:00:00 UTC,6.001480484057656,65953509.56029146,585974.9160190728
2021-10-10 00:00:00 UTC,7.006448253070772,77644159.86731741,2460722.9112014356
2021-10-11 00:00:00 UTC,6.371230892859866,70518195.86295138,977450.3488161697
2021-10-12 00:00:00 UTC,6.376314474468415,71165159.42943768,1059835.1179020735
2021-10-13 00:00:00 UTC,5.8859817059480015,65677114.20232386,639349.9376447794
2021-10-14 00:00:00 UTC,6.164562066528985,68969829.75370352,524511.6988124886
2021-10-15 00:00:00 UTC,5.443299881987691,61212887.24525137,941062.426422453
2021-10-16 00:00:00 UTC,5.221120234765315,59614980.67343485,824723.6505184446
2021-10-17 00:00:00 UTC,5.101838012918205,58469162.701971635,578646.6060033655
2021-10-18 00:00:00 UTC,5.183289899320424,59807548.06596446,646566.8975517032
2021-10-19 00:00:00 UTC,4.824558847596263,56003915.02917371,1409876.174759268
2021-10-20 00:00:00 UTC,4.891256485317496,56587096.763462424,594019.6832348941
2021-10-21 00:00:00 UTC,5.275108622953134,60849835.39440207,542278.7493321697
2021-10-22 00:00:00 UTC,6.834928466300048,76804272.26814336,3491395.1273456565
2021-10-23 00:00:00 UTC,6.553296068333063,76206344.44635744,822531.3652130296
2021-10-24 00:00:00 UTC,5.692970809082911,66651419.6843501,407969.3731488877
2021-10-25 00:00:00 UTC,5.322971365009907,62352685.15068663,345781.141168169
2021-10-26 00:00:00 UTC,5.4406439289285355,64005155.78973062,265159.3130567906
2021-10-27 00:00:00 UTC,5.281399839134367,62480102.445962004,333814.3683809706
2021-10-28 00:00:00 UTC,4.882529793638136,57775640.8816199,448937.492940734
2021-10-29 00:00:00 UTC,5.533519520287474,65415826.274795316,234019.9267627085
2021-10-30 00:00:00 UTC,5.608515448745497,66547385.45248965,169154.02005817354
2021-10-31 00:00:00 UTC,5.406273474090921,64142544.21126515,222991.21813259038
2021-11-01 00:00:00 UTC,6.484817231047622,77318601.47219437,7154165.6963167
2021-11-02 00:00:00 UTC,7.413015967650835,87954549.8661883,3420118.0376486816
2021-11-03 00:00:00 UTC,7.513963378027877,90363321.49772258,4686591.50321267
2021-11-04 00:00:00 UTC,8.280128033241525,99675912.33565669,2866498.586312758
2021-11-05 00:00:00 UTC,7.860416726976533,91048593.3759275,3008874.5569091374
2021-11-06 00:00:00 UTC,11.50399000798306,139162677.84015095,11252967.629176373
2021-11-07 00:00:00 UTC,14.793152214200536,189701944.98719776,6947949.8119164
2021-11-08 00:00:00 UTC,14.959139258083132,191084544.30737084,5628860.832812574
2021-11-09 00:00:00 UTC,14.751032404382979,191010129.59568033,3346167.5037364266
2021-11-10 00:00:00 UTC,14.46791714817436,178394510.0961155,7203585.245848347
2021-11-11 00:00:00 UTC,13.29311229916475,164468696.0711718,6240342.948483508
2021-11-12 00:00:00 UTC,12.49953128961587,155404341.67936176,1098328.222627715
2021-11-13 00:00:00 UTC,13.437823664973017,166837105.15104994,6376034.878857062
2021-11-14 00:00:00 UTC,14.391332255843567,170173487.50231543,161575.54185793153
2021-11-15 00:00:00 UTC,15.086980207748248,187145453.6984875,9975627.255480343
2021-11-16 00:00:00 UTC,12.337712629448609,154742068.107945,1614623.0372815174
2021-11-17 00:00:00 UTC,12.351099222344974,155141344.12650594,4326497.871632351
2021-11-18 00:00:00 UTC,13.567365373271176,168709934.73373163,1831101.9079729023
2021-11-19 00:00:00 UTC,12.545702962457867,157697093.7557136,1950717.3202027867
2021-11-20 00:00:00 UTC,12.620730192881604,159047819.23636785,931411.662804843
2021-11-21 00:00:00 UTC,13.392940681619269,169108889.5259956,1004781.4747950772
2021-11-22 00:00:00 UTC,11.15194608287021,144986841.9940546,934859.456081238
2021-11-23 00:00:00 UTC,10.06971321535583,129481643.16631284,719578.330023589
2021-11-24 00:00:00 UTC,12.033099368102267,155013361.51022148,6350963.010716377
2021-11-25 00:00:00 UTC,9.867310078488364,127306599.14094669,542583.887877415
2021-11-26 00:00:00 UTC,9.34868167031807,121074162.01042809,1500613.3289839744
2021-11-27 00:00:00 UTC,8.837537008691458,114632939.92030627,278140.90949481545
2021-11-28 00:00:00 UTC,9.183641616588293,119089524.32091565,694676.8725942923
2021-11-29 00:00:00 UTC,8.7964953960102,114043377.46845251,741888.4760695876
2021-11-30 00:00:00 UTC,10.552300720524306,136687516.6065655,7394879.688176111
2021-12-01 00:00:00 UTC,10.118884249640043,132448476.94871761,966351.9780191573
2021-12-02 00:00:00 UTC,8.471100462828375,111146570.5271007,980297.7015371985
2021-12-03 00:00:00 UTC,8.197793695622208,107529634.05712749,549509.5091077673
2021-12-04 00:00:00 UTC,8.32202486730311,110034037.26728344,877084.7824535663
2021-12-05 00:00:00 UTC,6.935796695663903,91664078.5023294,830977.2482843505
2021-12-06 00:00:00 UTC,6.450417471233047,85616852.8996601,1024781.6500712655
2021-12-07 00:00:00 UTC,7.104211502945296,94350196.77195916,871217.1640970764
2021-12-08 00:00:00 UTC,7.946180728302053,105890595.21777298,1404251.4029650865
2021-12-09 00:00:00 UTC,8.14015746267224,107378863.87186815,541389.8173178826
2021-12-10 00:00:00 UTC,6.898712626272959,92693874.04855719,1405820.6675080673
2021-12-11 00:00:00 UTC,6.464731505381723,86794613.81673534,516145.3221763109
2021-12-12 00:00:00 UTC,6.634131624739376,87606501.41167894,743986.4388050169
2021-12-13 00:00:00 UTC,7.084783199413358,96759354.50478965,715462.0899194289
2021-12-14 00:00:00 UTC,6.396522203865774,87887594.60277283,940279.0797046752
2021-12-15 00:00:00 UTC,5.874307059570694,80635001.45081477,1631723.154686059
2021-12-16 00:00:00 UTC,5.090479302833299,69945455.08563931,1308170.6285455897
2021-12-17 00:00:00 UTC,5.66333387416572,78313893.61780642,854947.1858529418
2021-12-18 00:00:00 UTC,5.678928951952164,78252478.1721331,423857.5908002371
2021-12-19 00:00:00 UTC,5.813705447346283,80258915.14289175,158990.07190888425
2021-12-20 00:00:00 UTC,5.546468750331347,76769799.30244361,308217.34906547697
2021-12-21 00:00:00 UTC,6.03359764711014,84054287.85489069,414391.615863103
2021-12-22 00:00:00 UTC,6.016899964965374,83925164.55767693,33405.869149422695
2021-12-23 00:00:00 UTC,6.148292077750161,85780425.81441459,380415.04241807986
2021-12-24 00:00:00 UTC,6.524464597672547,91018571.01387753,1747869.4193774858
2021-12-25 00:00:00 UTC,6.409039138913122,91722335.20857334,802279.5767844522
2021-12-26 00:00:00 UTC,6.26009933739241,87873224.61279546,95409.83289026543
2021-12-27 00:00:00 UTC,6.525643362933425,91567237.3847366,271249.2280990368
2021-12-28 00:00:00 UTC,6.573263235318496,92255743.14969257,303350.1227406679
2021-12-29 00:00:00 UTC,5.730122695186959,80575156.71352337,691864.6001839135
2021-12-30 00:00:00 UTC,5.214334957875538,73253101.34405987,676074.7338381646
2021-12-31 00:00:00 UTC,4.616087761345745,64976506.71972425,1049865.6935547434
2022-01-01 00:00:00 UTC,5.045869092873278,71377714.92649859,899080.1033113129
2022-01-02 00:00:00 UTC,5.369468026965927,75842121.26074849,312723.9057046712
2022-01-03 00:00:00 UTC,4.984398882960245,70617476.42976813,753296.7316075776
2022-01-04 00:00:00 UTC,4.75712708478733,67497159.41616364,6931888.473335262
2022-01-05 00:00:00 UTC,4.685611346354218,64606435.574546754,660594.6094080368
2022-01-06 00:00:00 UTC,4.711907183135925,67420368.94451101,789464.6466852851
