day,daily_tvl
2021-12-17T00:00:00+00:00,2948.000000000000000000000000000000000000
2021-12-16T00:00:00+00:00,2963.000000000000000000000000000000000000
2021-12-15T00:00:00+00:00,2952.000000000000000000000000000000000000
2021-12-14T00:00:00+00:00,2964.000000000000000000000000000000000000
2021-12-13T00:00:00+00:00,2978.000000000000000000000000000000000000
2021-12-12T00:00:00+00:00,2971.000000000000000000000000000000000000
2021-12-11T00:00:00+00:00,3105.000000000000000000000000000000000000
2021-12-10T00:00:00+00:00,3177.000000000000000000000000000000000000
2021-12-09T00:00:00+00:00,3209.000000000000000000000000000000000000
2021-12-08T00:00:00+00:00,3221.000000000000000000000000000000000000
2021-12-07T00:00:00+00:00,3270.000000000000000000000000000000000000
2021-12-06T00:00:00+00:00,3307.000000000000000000000000000000000000
2021-12-05T00:00:00+00:00,3300.000000000000000000000000000000000000
2021-12-04T00:00:00+00:00,3299.000000000000000000000000000000000000
2021-12-03T00:00:00+00:00,3314.000000000000000000000000000000000000
2021-12-02T00:00:00+00:00,3328.000000000000000000000000000000000000
2021-12-01T00:00:00+00:00,3344.000000000000000000000000000000000000
2021-11-30T00:00:00+00:00,3340.000000000000000000000000000000000000
2021-11-29T00:00:00+00:00,3350.000000000000000000000000000000000000
2021-11-28T00:00:00+00:00,3351.000000000000000000000000000000000000
2021-11-27T00:00:00+00:00,3368.000000000000000000000000000000000000
2021-11-26T00:00:00+00:00,3395.000000000000000000000000000000000000
2021-11-25T00:00:00+00:00,3415.000000000000000000000000000000000000
2021-11-24T00:00:00+00:00,3391.000000000000000000000000000000000000
2021-11-23T00:00:00+00:00,3432.000000000000000000000000000000000000
2021-11-22T00:00:00+00:00,3442.000000000000000000000000000000000000
2021-11-21T00:00:00+00:00,3432.000000000000000000000000000000000000
2021-11-20T00:00:00+00:00,3819.000000000000000000000000000000000000
2021-11-19T00:00:00+00:00,3962.000000000000000000000000000000000000
2021-11-18T00:00:00+00:00,3985.000000000000000000000000000000000000
2021-11-17T00:00:00+00:00,3977.000000000000000000000000000000000000
2021-11-16T00:00:00+00:00,3995.000000000000000000000000000000000000
2021-11-15T00:00:00+00:00,4014.000000000000000000000000000000000000
2021-11-14T00:00:00+00:00,4036.000000000000000000000000000000000000
2021-11-13T00:00:00+00:00,4297.000000000000000000000000000000000000
2021-11-12T00:00:00+00:00,4279.000000000000000000000000000000000000
2021-11-11T00:00:00+00:00,4279.000000000000000000000000000000000000
2021-11-10T00:00:00+00:00,4286.000000000000000000000000000000000000
2021-11-09T00:00:00+00:00,4280.000000000000000000000000000000000000
2021-11-08T00:00:00+00:00,4271.000000000000000000000000000000000000
2021-11-07T00:00:00+00:00,4517.000000000000000000000000000000000000
2021-11-06T00:00:00+00:00,5020.000000000000000000000000000000000000
2021-11-05T00:00:00+00:00,5244.000000000000000000000000000000000000
2021-11-04T00:00:00+00:00,5466.000000000000000000000000000000000000
2021-11-03T00:00:00+00:00,5457.000000000000000000000000000000000000
2021-11-02T00:00:00+00:00,5469.000000000000000000000000000000000000
2021-11-01T00:00:00+00:00,5493.000000000000000000000000000000000000
2021-10-31T00:00:00+00:00,5509.000000000000000000000000000000000000
2021-10-30T00:00:00+00:00,5516.000000000000000000000000000000000000
2021-10-29T00:00:00+00:00,5509.000000000000000000000000000000000000
2021-10-28T00:00:00+00:00,5525.000000000000000000000000000000000000
2021-10-27T00:00:00+00:00,5535.000000000000000000000000000000000000
2021-10-26T00:00:00+00:00,5551.000000000000000000000000000000000000
2021-10-25T00:00:00+00:00,5535.000000000000000000000000000000000000
2021-10-24T00:00:00+00:00,5537.000000000000000000000000000000000000
2021-10-23T00:00:00+00:00,5713.000000000000000000000000000000000000
2021-10-22T00:00:00+00:00,5748.000000000000000000000000000000000000
2021-10-21T00:00:00+00:00,5763.000000000000000000000000000000000000
2021-10-20T00:00:00+00:00,5768.000000000000000000000000000000000000
2021-10-19T00:00:00+00:00,5800.000000000000000000000000000000000000
2021-10-18T00:00:00+00:00,5883.000000000000000000000000000000000000
2021-10-17T00:00:00+00:00,5963.000000000000000000000000000000000000
2021-10-16T00:00:00+00:00,6080.000000000000000000000000000000000000
2021-10-15T00:00:00+00:00,6105.000000000000000000000000000000000000
2021-10-14T00:00:00+00:00,6138.000000000000000000000000000000000000
2021-10-13T00:00:00+00:00,6172.000000000000000000000000000000000000
2021-10-12T00:00:00+00:00,6183.000000000000000000000000000000000000
2021-10-11T00:00:00+00:00,6186.000000000000000000000000000000000000
2021-10-10T00:00:00+00:00,6172.000000000000000000000000000000000000
2021-10-09T00:00:00+00:00,6248.000000000000000000000000000000000000
2021-10-08T00:00:00+00:00,6256.000000000000000000000000000000000000
2021-10-07T00:00:00+00:00,6253.000000000000000000000000000000000000
2021-10-06T00:00:00+00:00,6260.000000000000000000000000000000000000
2021-10-05T00:00:00+00:00,6281.000000000000000000000000000000000000
2021-10-04T00:00:00+00:00,6281.000000000000000000000000000000000000
2021-10-03T00:00:00+00:00,6295.000000000000000000000000000000000000
2021-10-02T00:00:00+00:00,6384.000000000000000000000000000000000000
2021-10-01T00:00:00+00:00,6458.000000000000000000000000000000000000
2021-09-30T00:00:00+00:00,6480.000000000000000000000000000000000000
2021-09-29T00:00:00+00:00,6492.000000000000000000000000000000000000
2021-09-28T00:00:00+00:00,6479.000000000000000000000000000000000000
2021-09-27T00:00:00+00:00,6462.000000000000000000000000000000000000
2021-09-26T00:00:00+00:00,6495.000000000000000000000000000000000000
2021-09-25T00:00:00+00:00,6502.000000000000000000000000000000000000
2021-09-24T00:00:00+00:00,6503.000000000000000000000000000000000000
2021-09-23T00:00:00+00:00,6475.000000000000000000000000000000000000
2021-09-22T00:00:00+00:00,6470.000000000000000000000000000000000000
2021-09-21T00:00:00+00:00,6462.000000000000000000000000000000000000
2021-09-20T00:00:00+00:00,6458.000000000000000000000000000000000000
2021-09-19T00:00:00+00:00,6459.000000000000000000000000000000000000
