evt_block_time,torn_balance,torn_price,tvl
2022-03-02T18:17:00+00:00,318592.53168268017419550000,37.69,12007752.519120216
2022-03-02T19:35:00+00:00,318602.53168268017419550000,37.24,11864758.279863011
2022-03-02T19:56:00+00:00,319609.64312420033747560000,37.48,11978969.424295029
2022-03-02T20:25:00+00:00,327195.91659626384648670000,37.49,12266574.913193932
2022-03-02T20:46:00+00:00,327545.91659626384648670000,37.61,12319001.923185483
2022-03-02T20:48:00+00:00,327555.78198210572783990000,37.61,12319372.960346997
2022-03-02T22:09:00+00:00,327642.07348010572783990000,39.89,13069642.311121417
2022-03-03T02:49:00+00:00,327692.07348010572783990000,41.41,13569728.762811176
2022-03-03T02:58:00+00:00,327885.49392467371577850000,41.59,13636757.69232718
2022-03-03T03:34:00+00:00,328385.49392467371577850000,42.65,14005641.315887334
2022-03-03T04:11:00+00:00,328396.49392467371577850000,42.58,13983122.711312605
2022-03-03T04:44:00+00:00,348731.45132959745577850000,42.86,14946630.003986547
2022-03-03T05:03:00+00:00,348152.24140579798841180000,44.64,15541516.056354823
2022-03-03T05:04:00+00:00,348167.46513579798841180000,44.64,15542195.643662022
2022-03-03T05:29:00+00:00,358054.61925012848903610000,44.91,16080232.95052327
2022-03-03T05:59:00+00:00,358087.41514112554270400000,48.13,17234747.290742375
2022-03-03T06:01:00+00:00,357488.36414112554270400000,48.31,17270262.871657774
2022-03-03T06:19:00+00:00,358092.07862551223238020000,47.61,17048763.86336064
2022-03-03T06:21:00+00:00,358162.90785285772331470000,48.01,17195401.2060157
2022-03-03T06:32:00+00:00,358323.83785285772331470000,47.25,16930801.338547528
2022-03-03T06:39:00+00:00,358174.73785285772331470000,47.2,16905847.626654886
2022-03-03T06:54:00+00:00,358028.93943285772331470000,46.8,16755754.365457742
2022-03-03T07:01:00+00:00,358032.92741082796544170000,46.42,16619888.490410633
2022-03-03T07:10:00+00:00,358100.69232602753655840000,46.31,16583643.061618337
2022-03-03T07:18:00+00:00,358122.16037914680921680000,46.3,16581056.025554497
2022-03-03T07:23:00+00:00,358127.57786607779241260000,46.12,16516843.891183507
2022-03-03T07:28:00+00:00,358164.44001171116775220000,45.96,16461237.662938245
2022-03-03T07:59:00+00:00,357978.44001171116775220000,46.13,16513545.437740237
2022-03-03T08:28:00+00:00,358019.19236752202052150000,46.87,16780359.54626576
2022-03-03T08:35:00+00:00,357669.19236752202052150000,46.56,16653077.596631827
2022-03-03T08:44:00+00:00,369359.70405195756252150000,46.24,17079192.71536252
2022-03-03T08:54:00+00:00,369381.14262336153107430000,45.65,16862249.160756454
2022-03-03T09:08:00+00:00,369412.26262336153107430000,45.77,16907999.26027126
2022-03-03T09:53:00+00:00,378747.95407014153107430000,46.33,17547392.712069657
2022-03-03T10:46:00+00:00,378762.89174014153107430000,47.06,17824581.685291063
2022-03-03T11:32:00+00:00,378795.22437438384457200000,46.15,17481399.604877815
2022-03-03T11:39:00+00:00,378870.22032161767972730000,45.97,17416664.028184764
2022-03-03T12:41:00+00:00,378715.22032161767972730000,47.53,18000334.42188649
2022-03-03T12:57:00+00:00,378515.22032161767972730000,47.45,17960547.20426076
2022-03-03T13:21:00+00:00,378578.54662723778927910000,46.77,17706118.625755914
2022-03-03T14:13:00+00:00,372578.54662723778927910000,54,20119241.517870843
2022-03-03T14:54:00+00:00,372884.80461923778927910000,51.2,19091701.996504974
2022-03-03T15:28:00+00:00,372859.80461923778927910000,50.46,18814505.74108674
2022-03-03T16:01:00+00:00,372892.62461923778927910000,50.35,18775143.649578623
2022-03-03T16:33:00+00:00,369885.64531923778927910000,57.2,21157458.912260402
2022-03-03T16:49:00+00:00,369316.30606923778927910000,56.88,21006711.489218246
2022-03-03T17:15:00+00:00,368400.40606923778927910000,58.37,21503531.70226141
2022-03-03T17:34:00+00:00,368350.17053923778927910000,61.62,22697737.508627832
2022-03-03T18:13:00+00:00,368602.24053923778927910000,59.7,22005553.7601925
2022-03-03T18:24:00+00:00,368702.24053923778927910000,60.01,22125821.45475966
2022-03-03T18:34:00+00:00,368836.69231523778927910000,58.39,21536374.464286733
2022-03-03T20:09:00+00:00,369135.97701523778927910000,66.4,24510628.873811793
2022-03-03T20:10:00+00:00,369085.23701523778927910000,66.4,24507259.737811793
2022-03-03T20:15:00+00:00,369037.23701523778927910000,64.44,23780759.553261925
2022-03-03T20:34:00+00:00,368995.11701523778927910000,65.12,24028962.020032287
2022-03-03T20:46:00+00:00,370722.61822523778927910000,62.83,23292502.103091687
2022-03-03T20:52:00+00:00,370759.20922523778927910000,62.32,23105713.918916818
2022-03-03T20:57:00+00:00,370630.40335523778927910000,61.77,22893840.01525304
2022-03-03T20:58:00+00:00,370634.86804930930303410000,61.77,22894115.799405836
2022-03-03T21:10:00+00:00,370585.16311930930303410000,59.95,22216580.529002592
2022-03-03T21:17:00+00:00,367372.67077549533742920000,59.19,21744788.38320157
2022-03-03T21:21:00+00:00,367296.67077549533742920000,59.3,21780692.57698687
2022-03-03T21:35:00+00:00,366296.67077549533742920000,58.36,21377073.70645791
2022-03-03T21:56:00+00:00,366250.31053549533742920000,57.81,21172930.452056985
2022-03-03T22:42:00+00:00,371012.21553549533742920000,58.63,21752446.19684609
2022-03-03T23:20:00+00:00,375774.12053549533742920000,60.77,22835793.304942053
2022-03-04T00:33:00+00:00,375811.44053549533742920000,57.06,21443800.796955366
2022-03-04T00:36:00+00:00,375812.44053549533742920000,57.35,21552843.46471066
2022-03-04T00:38:00+00:00,376937.47942732750844250000,57.35,21617364.445157234
2022-03-04T01:17:00+00:00,375937.47942732750844250000,56.75,21334451.957500838
2022-03-04T02:34:00+00:00,375807.29505405225513980000,55.71,20936224.407461252
2022-03-04T02:46:00+00:00,376186.78539820170380930000,55.61,20919747.135994
2022-03-04T04:09:00+00:00,378183.75573759292734940000,58.43,22097276.847747553
2022-03-04T06:19:00+00:00,378293.52729668739582160000,52.87,20000378.788175862
2022-03-04T06:25:00+00:00,380003.80998260361048690000,52.83,20075601.281380948
2022-03-04T06:48:00+00:00,379701.08644260361048690000,52.48,19926713.016507838
2022-03-04T07:06:00+00:00,379601.08644260361048690000,53.16,20179593.755288806
2022-03-04T07:11:00+00:00,396100.59644260361048690000,53.11,21036902.677066676
2022-03-04T07:25:00+00:00,395928.72504260361048690000,52.47,20774380.20298541
2022-03-04T08:17:00+00:00,395878.99504260361048690000,55,21773344.7273432
2022-03-04T08:21:00+00:00,396000.32083997358222610000,54.73,21673097.559571754
2022-03-04T08:25:00+00:00,396040.30977997358222610000,54.73,21675286.154257953
2022-03-04T08:45:00+00:00,395940.30977997358222600000,54.06,21404533.146705374
2022-03-04T08:59:00+00:00,396065.43488570220422740000,54.6,21625172.74475934
2022-03-04T10:46:00+00:00,396365.43488570220422740000,58.98,23377633.349558715
2022-03-04T10:55:00+00:00,396165.43488570220422740000,58.78,23286604.262581576
2022-03-04T12:08:00+00:00,394665.43488570220422740000,58.63,23139234.44734872
2022-03-04T12:29:00+00:00,397260.95488570220422740000,57.17,22711408.790815596
2022-03-04T12:37:00+00:00,397273.80174949898512850000,56.87,22592961.105494007
2022-03-04T12:41:00+00:00,397283.50407593087798790000,57.06,22668996.742572617
2022-03-04T12:43:00+00:00,397293.20599499420242730000,57.06,22669550.33407437
2022-03-04T13:08:00+00:00,398271.13307499420242730000,57.48,22892624.729150664
2022-03-04T13:21:00+00:00,399471.13307499420242730000,56.8,22689960.35865967
2022-03-04T13:22:00+00:00,399579.64560736420242730000,56.8,22696123.870498285
2022-03-04T13:57:00+00:00,399599.40850158355168190000,55.59,22213731.118603032
2022-03-04T14:25:00+00:00,399609.40850158355168190000,53.74,21475009.6128751
2022-03-04T14:27:00+00:00,400953.62209158355168190000,53.97,21639466.984282766
2022-03-04T15:33:00+00:00,401670.69162158355168190000,54.91,22055737.67694115
2022-03-04T15:38:00+00:00,403943.81362158355168190000,54.64,22071489.976283327
2022-03-04T15:50:00+00:00,407216.30198547120747150000,54.34,22128133.849890508
2022-03-04T16:12:00+00:00,407226.89089547120747150000,52.42,21346833.6207406
2022-03-04T16:31:00+00:00,407636.67153147120747150000,51.71,21078892.284892377
2022-03-04T17:29:00+00:00,410268.46366147120747150000,50.12,20562655.398712937
2022-03-04T17:42:00+00:00,410193.46771423737231620000,49.56,20329188.259917606
2022-03-04T20:34:00+00:00,409846.00619423737231620000,48.51,19881629.760482457
2022-03-04T21:17:00+00:00,409720.88108850875031480000,48.46,19855073.897549134
2022-03-04T21:53:00+00:00,410376.84001100911628650000,48.64,19960729.498135485
2022-03-05T04:14:00+00:00,446513.41860884911628650000,49.8,22236368.246720683
2022-03-05T06:07:00+00:00,446707.85339322501863960000,54.05,24144559.47590381
2022-03-05T06:10:00+00:00,447101.88471836640426620000,54.74,24474357.16948338
2022-03-05T08:04:00+00:00,445545.88471836640426620000,54.38,24228785.210984766
2022-03-05T10:05:00+00:00,445799.77251836640426620000,53.85,24006317.75011403
2022-03-05T11:14:00+00:00,445852.95546436686222640000,53.84,24004723.122201513
2022-03-05T11:33:00+00:00,445952.64546436686222640000,53.64,23920899.90270864
2022-03-05T11:50:00+00:00,445902.64546436686222640000,53.32,23775529.056160044
2022-03-05T12:52:00+00:00,445983.51362436686222640000,52.09,23231281.22469327
2022-03-05T13:26:00+00:00,445988.53164648757925120000,50.66,22593779.01321106
2022-03-05T13:43:00+00:00,446790.61164648757925120000,50.24,22446760.329119537
2022-03-05T14:24:00+00:00,446797.10955088469750580000,51.24,22893883.893387333
2022-03-05T14:32:00+00:00,446787.10950529612589280000,51.23,22888903.61995632
2022-03-05T15:51:00+00:00,448899.23518750981543040000,50.31,22584120.522283617
2022-03-05T18:49:00+00:00,448914.83282750981543040000,50.16,22517568.01462789
2022-03-05T20:18:00+00:00,449035.76603012819588990000,50.68,22757132.622406896
2022-03-05T20:50:00+00:00,449045.87229577447919160000,51,22901339.487084497
2022-03-06T00:02:00+00:00,449061.86401243374001940000,53,23800278.79265899
2022-03-06T00:37:00+00:00,449106.31524243374001940000,52.39,23528679.855551105
2022-03-06T02:42:00+00:00,449208.44687989492760580000,54.9,24661543.733706232
2022-03-06T05:26:00+00:00,449689.31330877046164920000,54.09,24323694.956871398
2022-03-06T06:49:00+00:00,449772.40210877046164920000,52.93,23806453.243617218
2022-03-06T07:08:00+00:00,452588.59210877046164920000,51.75,23421459.64162887
2022-03-06T07:26:00+00:00,452538.59045831071244390000,51.8,23441498.985740494
2022-03-06T08:33:00+00:00,452655.22045831071244390000,50.01,22637287.575120118
2022-03-06T09:41:00+00:00,452605.22045831071244390000,49.93,22598578.657483455
2022-03-06T09:49:00+00:00,452555.22045831071244390000,49.88,22573454.39646054
2022-03-06T10:09:00+00:00,452400.32354909645391230000,49.23,22271667.928322017
2022-03-06T10:15:00+00:00,452391.03354909645391230000,48.7,22031443.333840996
2022-03-06T11:25:00+00:00,452855.70688658645391230000,48.25,21850287.857277796
2022-03-06T12:23:00+00:00,452053.62688658645391230000,47.42,21436382.986961927
2022-03-06T14:05:00+00:00,452249.52914772086765570000,47.07,21287385.336983223
2022-03-06T15:17:00+00:00,452276.52847042307986170000,46.5,21030858.573874675
2022-03-06T16:22:00+00:00,452376.53044311497619670000,46.83,21184792.920651074
2022-03-06T18:49:00+00:00,452380.53044311497619670000,46.73,21139742.187606763
2022-03-06T21:09:00+00:00,452933.88370995036481960000,46.27,20957250.799259406
2022-03-06T21:10:00+00:00,453048.61839265970325980000,46.27,20962559.573028367
2022-03-06T21:22:00+00:00,454898.01239265970325980000,46.3,21061777.973780144
2022-03-06T21:52:00+00:00,455764.48925652520292750000,46.64,21256855.778924335
2022-03-06T22:14:00+00:00,455814.48925652520292750000,47.02,21432397.284841817
2022-03-06T23:04:00+00:00,455814.489256525202927500000000000000000000,47.48,21642071.949899815
2022-03-06T23:06:00+00:00,454394.659125824314636900000000000000000000,47.58,21620097.88120672
2022-03-06T23:12:00+00:00,455814.489256525202927500000000000000000000,47.8,21787932.5864619
2022-03-07T00:29:00+00:00,458450.781256525202927500000000000000000000,46.4,21272116.25030277
2022-03-07T01:59:00+00:00,458492.956816351525267500000000000000000000,48.71,22333191.926524483
2022-03-07T04:28:00+00:00,458392.956816351525267500000000000000000000,47.35,21704906.505254246
2022-03-07T06:46:00+00:00,458492.157656351525267500000000000000000000,46.88,21494112.35092976
2022-03-07T07:36:00+00:00,458796.908678127856089700000000000000000000,46.33,21256060.779057663
2022-03-07T08:56:00+00:00,458972.215678127856089700000000000000000000,45.49,20878646.091198035
2022-03-07T11:45:00+00:00,459112.194708799921343800000000000000000000,44.82,20577408.566848412
2022-03-07T12:32:00+00:00,459180.403716799921343800000000000000000000,45.52,20901891.977188732
2022-03-07T13:58:00+00:00,451983.100412231933405200000000000000000000,46.24,20899698.563061606
2022-03-07T14:21:00+00:00,459201.578481951933405200000000000000000000,47.23,21688090.55170259
2022-03-07T14:24:00+00:00,459301.578481951933405200000000000000000000,47.23,21692813.55170259
2022-03-07T14:53:00+00:00,459851.421272483165595500000000000000000000,46.4,21337105.947043218
2022-03-07T15:40:00+00:00,460773.657768974222050800000000000000000000,46.04,21214019.20368357
2022-03-07T16:39:00+00:00,460763.337768974222050800000000000000000000,45.98,21185898.270617433
2022-03-07T17:34:00+00:00,463298.266768974222050800000000000000000000,46.11,21362683.0807174
2022-03-08T05:58:00+00:00,461298.266768974222050800000000000000000000,43.63,20126443.379130345
2022-03-08T08:04:00+00:00,460748.266768974222050800000000000000000000,43.5,20042549.60445038
2022-03-08T08:20:00+00:00,461298.266768974222050800000000000000000000,43.82,20214090.04981645
2022-03-08T08:46:00+00:00,461355.948272881116075000000000000000000000,44.32,20447295.62745409
2022-03-08T09:17:00+00:00,461686.643199589285915700000000000000000000,43.85,20244959.304301992
2022-03-08T09:19:00+00:00,461701.580615466327345300000000000000000000,43.85,20245614.3099882
2022-03-08T09:51:00+00:00,465558.930318763334345300000000000000000000,44.26,20605638.255908467
2022-03-08T11:02:00+00:00,465564.722318763334345300000000000000000000,46.25,21532368.407242805
2022-03-08T11:06:00+00:00,465677.495913747546093300000000000000000000,46.18,21504986.76129686
2022-03-08T12:03:00+00:00,473177.495913747546093300000000000000000000,47.23,22348173.132006295
2022-03-08T12:43:00+00:00,473214.762503427546093300000000000000000000,50.92,24096095.70667453
2022-03-08T12:58:00+00:00,472181.219050308273434900000000000000000000,51.98,24543979.766235024
2022-03-08T13:48:00+00:00,472185.419555253389324800000000000000000000,49.73,23481780.91448275
2022-03-08T14:14:00+00:00,472235.419555253389324800000000000000000000,50.25,23729829.832651485
2022-03-08T18:40:00+00:00,472225.419555253389324800000000000000000000,52.18,24640722.392393123
2022-03-08T18:58:00+00:00,472094.209555253389324800000000000000000000,51.67,24393107.807719942
2022-03-09T08:15:00+00:00,470769.499154918194334000000000000000000000,50.84,23933921.337036043
2022-03-09T08:32:00+00:00,470763.135302160827625100000000000000000000,50.59,23815907.014936317
2022-03-09T08:38:00+00:00,471319.906182160827625100000000000000000000,50.58,23839360.854693696
2022-03-09T08:58:00+00:00,471624.483468875782369900000000000000000000,50.71,23916077.55670669
2022-03-09T09:16:00+00:00,473676.466858199542787500000000000000000000,50.63,23982239.517030645
2022-03-09T10:22:00+00:00,474316.905278199542787500000000000000000000,50.67,24033637.59044637
2022-03-09T10:37:00+00:00,475641.615678534737778300000000000000000000,50.78,24153081.244155996
2022-03-09T11:08:00+00:00,475661.860273865427795300000000000000000000,49.33,23464399.56730978
2022-03-09T13:04:00+00:00,474274.579393865427795300000000000000000000,48.73,23111400.25386306
2022-03-09T15:09:00+00:00,474541.519393865427795300000000000000000000,48.12,22834937.913232803
2022-03-09T16:08:00+00:00,474933.556463865427795300000000000000000000,47.93,22763565.36131307
2022-03-09T16:12:00+00:00,474973.321963865427795300000000000000000000,47.58,22599230.659040716
2022-03-09T16:23:00+00:00,475164.634353225897750500000000000000000000,47.58,22608333.302526485
2022-03-09T16:26:00+00:00,475184.804353225897750500000000000000000000,47.61,22623548.535257086
2022-03-09T17:34:00+00:00,475238.259053225897750500000000000000000000,48.17,22892226.938593894
2022-03-09T17:42:00+00:00,476215.542433095897750500000000000000000000,48.3,23001210.69951853
2022-03-09T18:07:00+00:00,476346.752433095897750500000000000000000000,47.89,22812245.97402096
2022-03-09T21:14:00+00:00,474546.752433095897750500000000000000000000,48.4,22968062.81776184
2022-03-09T21:53:00+00:00,474552.252433095897750500000000000000000000,49.36,23423899.180097613
2022-03-09T22:12:00+00:00,475052.935423262136448800000000000000000000,49.24,23391606.540241428
2022-03-09T22:28:00+00:00,475115.729443262136448800000000000000000000,49.05,23304426.529192008
2022-03-10T00:26:00+00:00,474565.886652730904258500000000000000000000,49.2,23348641.623314362
2022-03-10T04:29:00+00:00,474512.431952730904258500000000000000000000,48.81,23160951.8036128
2022-03-10T04:31:00+00:00,474531.288121211408185600000000000000000000,47.83,22696831.51083754
2022-03-10T06:32:00+00:00,474625.643801211408185600000000000000000000,45.27,21486302.894880842
2022-03-10T07:22:00+00:00,473624.643801211408185600000000000000000000,45.86,21720426.164723553
2022-03-10T07:41:00+00:00,473646.248802374630630100000000000000000000,45.69,21640897.107780498
2022-03-10T07:53:00+00:00,472346.248802374630630100000000000000000000,45.74,21605117.420220617
2022-03-10T08:11:00+00:00,465127.770732654630630100000000000000000000,45.33,21084241.847311232
2022-03-10T08:29:00+00:00,465448.708440248035239100000000000000000000,45.4,21131371.36318726
2022-03-10T11:11:00+00:00,465677.329740248035239100000000000000000000,44.66,20797149.546199474
2022-03-10T13:15:00+00:00,466598.596490063334405700000000000000000000,43.7,20390358.66661577
2022-03-10T13:40:00+00:00,466590.596490063334405700000000000000000000,44.3,20669963.424509805
2022-03-10T13:46:00+00:00,466817.605542042150701200000000000000000000,43.46,20287893.136857152
2022-03-10T14:27:00+00:00,466918.956782042150701200000000000000000000,43.85,20474396.25489255
2022-03-10T14:57:00+00:00,466992.093555951870289300000000000000000000,43.69,20402884.56745954
2022-03-10T15:05:00+00:00,467092.093555951870289300000000000000000000,43.88,20496001.06523517
2022-03-10T15:50:00+00:00,467042.093555951870289300000000000000000000,44.28,20680623.90265755
2022-03-10T16:13:00+00:00,467054.337820907393856300000000000000000000,44.39,20732542.055870082
2022-03-10T18:31:00+00:00,467343.815780907393856300000000000000000000,43.26,20217293.470682055
2022-03-11T04:05:00+00:00,467426.071552686260341700000000000000000000,43.54,20351731.15540396
2022-03-11T04:51:00+00:00,466458.071552686260341700000000000000000000,43.24,20169647.013938155
2022-03-11T05:32:00+00:00,466507.205051515446899300000000000000000000,43.04,20078470.10541722
2022-03-11T06:29:00+00:00,464029.604061645446899300000000000000000000,42.92,19916150.606325824
2022-03-11T06:52:00+00:00,464021.604061645446899300000000000000000000,42.83,19874045.301960275
2022-03-11T09:45:00+00:00,464082.978784875446899300000000000000000000,44.13,20479981.85377655
2022-03-11T11:10:00+00:00,463951.768784875446899300000000000000000000,43.71,20279331.813586906
2022-03-11T14:49:00+00:00,464514.768784875446899300000000000000000000,45.48,21126131.684336133
